Pair,bin,cl,variable,est,Kraken,k,D,error,confidence
Large,15-May,5,ucseq_Drosophila_yakuba_downSmpld,0.063175893,TRUE,35,0.062705933,0.007494666,0
Large,15-May,2,ucseq_Drosophila_yakuba_downSmpld,0.063087214,TRUE,35,0.062705933,0.006080461,0
Large,15-May,1,ucseq_Drosophila_yakuba_downSmpld,0.063075498,TRUE,35,0.062705933,0.005893621,0
Large,15-May,0,ucseq_Drosophila_yakuba_downSmpld,0.063076267,TRUE,35,0.062705933,0.005905885,0
Large,15-25,25,ucseq_Drosophila_yakuba_downSmpld,0.067160802,TRUE,35,0.062705933,0.07104382,0
Large,15-25,20,ucseq_Drosophila_yakuba_downSmpld,0.065892223,TRUE,35,0.062705933,0.050813214,0
Large,15-25,15,ucseq_Drosophila_yakuba_downSmpld,0.064821856,TRUE,35,0.062705933,0.033743585,0
Large,15-25,10,ucseq_Drosophila_yakuba_downSmpld,0.0638883,TRUE,35,0.062705933,0.018855744,0
Large,15-25,5,ucseq_Drosophila_yakuba_downSmpld,0.06330742,TRUE,35,0.062705933,0.009592186,0
Large,15-25,2,ucseq_Drosophila_yakuba_downSmpld,0.06311751,TRUE,35,0.062705933,0.006563605,0
Large,15-25,1,ucseq_Drosophila_yakuba_downSmpld,0.063089233,TRUE,35,0.062705933,0.006112659,0
Large,15-25,0,ucseq_Drosophila_yakuba_downSmpld,0.063076267,TRUE,35,0.062705933,0.005905885,0
Large,00-05,60,ucseq_Drosophila_yakuba_downSmpld.1,0.065607277,TRUE,32,0.062705933,0.046269051,0
Large,00-05,50,ucseq_Drosophila_yakuba_downSmpld.1,0.064384466,TRUE,32,0.062705933,0.026768328,0
Large,00-05,40,ucseq_Drosophila_yakuba_downSmpld.1,0.063989982,TRUE,32,0.062705933,0.020477313,0
Large,00-05,30,ucseq_Drosophila_yakuba_downSmpld.1,0.063545087,TRUE,32,0.062705933,0.01338237,0
Large,00-05,25,ucseq_Drosophila_yakuba_downSmpld.1,0.063545129,TRUE,32,0.062705933,0.01338304,0
Large,00-05,20,ucseq_Drosophila_yakuba_downSmpld.1,0.063414698,TRUE,32,0.062705933,0.011302997,0
Large,00-05,15,ucseq_Drosophila_yakuba_downSmpld.1,0.063408406,TRUE,32,0.062705933,0.011202656,0
Large,00-05,10,ucseq_Drosophila_yakuba_downSmpld.1,0.0633415,TRUE,32,0.062705933,0.010135676,0
Large,00-05,5,ucseq_Drosophila_yakuba_downSmpld.1,0.063305133,TRUE,32,0.062705933,0.009555715,0
Large,00-05,2,ucseq_Drosophila_yakuba_downSmpld.1,0.063287451,TRUE,32,0.062705933,0.009273732,0
Large,00-05,1,ucseq_Drosophila_yakuba_downSmpld.1,0.063296105,TRUE,32,0.062705933,0.009411741,0
Large,00-05,0,ucseq_Drosophila_yakuba_downSmpld.1,0.063300354,TRUE,32,0.062705933,0.009479502,0
Large,00-00,25,ucseq_Drosophila_yakuba_downSmpld.1,0.063347149,TRUE,32,0.062705933,0.010225763,0
Large,00-00,20,ucseq_Drosophila_yakuba_downSmpld.1,0.063289344,TRUE,32,0.062705933,0.00930392,0
Large,00-00,15,ucseq_Drosophila_yakuba_downSmpld.1,0.063340939,TRUE,32,0.062705933,0.010126729,0
Large,00-00,10,ucseq_Drosophila_yakuba_downSmpld.1,0.063303338,TRUE,32,0.062705933,0.009527089,0
Large,00-00,5,ucseq_Drosophila_yakuba_downSmpld.1,0.063296078,TRUE,32,0.062705933,0.00941131,0
Large,00-00,2,ucseq_Drosophila_yakuba_downSmpld.1,0.063284645,TRUE,32,0.062705933,0.009228983,0
Large,00-00,1,ucseq_Drosophila_yakuba_downSmpld.1,0.063296043,TRUE,32,0.062705933,0.009410752,0
Large,00-00,0,ucseq_Drosophila_yakuba_downSmpld.1,0.063300354,TRUE,32,0.062705933,0.009479502,0
Large,15-May,25,ucseq_Drosophila_yakuba_downSmpld.1,0.064980187,TRUE,32,0.062705933,0.036268562,0
Large,15-May,20,ucseq_Drosophila_yakuba_downSmpld.1,0.06438404,TRUE,32,0.062705933,0.026761535,0
Large,15-May,15,ucseq_Drosophila_yakuba_downSmpld.1,0.063982471,TRUE,32,0.062705933,0.020357531,0
Large,15-May,10,ucseq_Drosophila_yakuba_downSmpld.1,0.063596712,TRUE,32,0.062705933,0.014205657,0
Large,15-May,5,ucseq_Drosophila_yakuba_downSmpld.1,0.06337808,TRUE,32,0.062705933,0.010719034,0
Large,15-May,2,ucseq_Drosophila_yakuba_downSmpld.1,0.063306771,TRUE,32,0.062705933,0.009581837,0
Large,15-May,1,ucseq_Drosophila_yakuba_downSmpld.1,0.063300661,TRUE,32,0.062705933,0.009484398,0
Large,15-May,0,ucseq_Drosophila_yakuba_downSmpld.1,0.063300354,TRUE,32,0.062705933,0.009479502,0
Large,15-25,25,ucseq_Drosophila_yakuba_downSmpld.1,0.067179208,TRUE,32,0.062705933,0.071337349,0
Large,15-25,20,ucseq_Drosophila_yakuba_downSmpld.1,0.065946573,TRUE,32,0.062705933,0.051679958,0
Large,15-25,15,ucseq_Drosophila_yakuba_downSmpld.1,0.064931461,TRUE,32,0.062705933,0.035491506,0
Large,15-25,10,ucseq_Drosophila_yakuba_downSmpld.1,0.064052893,TRUE,32,0.062705933,0.021480583,0
Large,15-25,5,ucseq_Drosophila_yakuba_downSmpld.1,0.063507269,TRUE,32,0.062705933,0.012779269,0
Large,15-25,2,ucseq_Drosophila_yakuba_downSmpld.1,0.063332722,TRUE,32,0.062705933,0.009995689,0
Large,15-25,1,ucseq_Drosophila_yakuba_downSmpld.1,0.063309167,TRUE,32,0.062705933,0.009620047,0
Large,15-25,0,ucseq_Drosophila_yakuba_downSmpld.1,0.063300354,TRUE,32,0.062705933,0.009479502,0
Large,00-05,60,ucseq_Drosophila_yakuba_downSmpld.2,0.06884435,TRUE,29,0.062705933,0.097892124,0
Large,00-05,50,ucseq_Drosophila_yakuba_downSmpld.2,0.067398737,TRUE,29,0.062705933,0.074838277,0
Large,00-05,40,ucseq_Drosophila_yakuba_downSmpld.2,0.067115254,TRUE,29,0.062705933,0.070317445,0
Large,00-05,30,ucseq_Drosophila_yakuba_downSmpld.2,0.066574309,TRUE,29,0.062705933,0.061690749,0
Large,00-05,25,ucseq_Drosophila_yakuba_downSmpld.2,0.06668322,TRUE,29,0.062705933,0.063427603,0
Large,00-05,20,ucseq_Drosophila_yakuba_downSmpld.2,0.066603617,TRUE,29,0.062705933,0.062158137,0
Large,00-05,15,ucseq_Drosophila_yakuba_downSmpld.2,0.06661952,TRUE,29,0.062705933,0.06241175,0
Large,00-05,10,ucseq_Drosophila_yakuba_downSmpld.2,0.066471204,TRUE,29,0.062705933,0.060046487,0
Large,00-05,5,ucseq_Drosophila_yakuba_downSmpld.2,0.066411071,TRUE,29,0.062705933,0.059087519,0
Large,00-05,2,ucseq_Drosophila_yakuba_downSmpld.2,0.066422703,TRUE,29,0.062705933,0.05927302,0
Large,00-05,1,ucseq_Drosophila_yakuba_downSmpld.2,0.066430457,TRUE,29,0.062705933,0.059396676,0
Large,00-05,0,ucseq_Drosophila_yakuba_downSmpld.2,0.066420419,TRUE,29,0.062705933,0.059236596,0
Large,00-00,25,ucseq_Drosophila_yakuba_downSmpld.2,0.066490738,TRUE,29,0.062705933,0.060358005,0
Large,00-00,20,ucseq_Drosophila_yakuba_downSmpld.2,0.066477813,TRUE,29,0.062705933,0.060151884,0
Large,00-00,15,ucseq_Drosophila_yakuba_downSmpld.2,0.066552003,TRUE,29,0.062705933,0.061335026,0
Large,00-00,10,ucseq_Drosophila_yakuba_downSmpld.2,0.066434287,TRUE,29,0.062705933,0.059457755,0
Large,00-00,5,ucseq_Drosophila_yakuba_downSmpld.2,0.06640075,TRUE,29,0.062705933,0.058922925,0
Large,00-00,2,ucseq_Drosophila_yakuba_downSmpld.2,0.066420724,TRUE,29,0.062705933,0.05924146,0
Large,00-00,1,ucseq_Drosophila_yakuba_downSmpld.2,0.066429433,TRUE,29,0.062705933,0.059380346,0
Large,00-00,0,ucseq_Drosophila_yakuba_downSmpld.2,0.066420398,TRUE,29,0.062705933,0.059236261,0
Large,15-May,25,ucseq_Drosophila_yakuba_downSmpld.2,0.067828943,TRUE,29,0.062705933,0.081698968,0
Large,15-May,20,ucseq_Drosophila_yakuba_downSmpld.2,0.067354678,TRUE,29,0.062705933,0.074135648,0
Large,15-May,15,ucseq_Drosophila_yakuba_downSmpld.2,0.067079558,TRUE,29,0.062705933,0.069748185,0
Large,15-May,10,ucseq_Drosophila_yakuba_downSmpld.2,0.0666729,TRUE,29,0.062705933,0.063263025,0
Large,15-May,5,ucseq_Drosophila_yakuba_downSmpld.2,0.066471243,TRUE,29,0.062705933,0.060047109,0
Large,15-May,2,ucseq_Drosophila_yakuba_downSmpld.2,0.066425703,TRUE,29,0.062705933,0.059320862,0
Large,15-May,1,ucseq_Drosophila_yakuba_downSmpld.2,0.06643354,TRUE,29,0.062705933,0.059445842,0
Large,15-May,0,ucseq_Drosophila_yakuba_downSmpld.2,0.066420419,TRUE,29,0.062705933,0.059236596,0
Large,15-25,25,ucseq_Drosophila_yakuba_downSmpld.2,0.070205872,TRUE,29,0.062705933,0.119604934,0
Large,15-25,20,ucseq_Drosophila_yakuba_downSmpld.2,0.069012763,TRUE,29,0.062705933,0.100577883,0
Large,15-25,15,ucseq_Drosophila_yakuba_downSmpld.2,0.068097623,TRUE,29,0.062705933,0.08598373,0
Large,15-25,10,ucseq_Drosophila_yakuba_downSmpld.2,0.067154688,TRUE,29,0.062705933,0.070946317,0
Large,15-25,5,ucseq_Drosophila_yakuba_downSmpld.2,0.066601455,TRUE,29,0.062705933,0.062123659,0
Large,15-25,2,ucseq_Drosophila_yakuba_downSmpld.2,0.066448816,TRUE,29,0.062705933,0.059689456,0
Large,15-25,1,ucseq_Drosophila_yakuba_downSmpld.2,0.066438293,TRUE,29,0.062705933,0.05952164,0
Large,15-25,0,ucseq_Drosophila_yakuba_downSmpld.2,0.066420419,TRUE,29,0.062705933,0.059236596,0
Large,00-05,60,ucseq_Drosophila_yakuba_downSmpld.3,0.069430373,TRUE,28,0.062705933,0.1072377,0
Large,00-05,50,ucseq_Drosophila_yakuba_downSmpld.3,0.067896514,TRUE,28,0.062705933,0.082776553,0
Large,00-05,40,ucseq_Drosophila_yakuba_downSmpld.3,0.067458335,TRUE,28,0.062705933,0.075788714,0
Large,00-05,30,ucseq_Drosophila_yakuba_downSmpld.3,0.067141598,TRUE,28,0.062705933,0.070737565,0
Large,00-05,25,ucseq_Drosophila_yakuba_downSmpld.3,0.067106341,TRUE,28,0.062705933,0.070175305,0
Large,00-05,20,ucseq_Drosophila_yakuba_downSmpld.3,0.066860773,TRUE,28,0.062705933,0.066259121,0
Large,00-05,15,ucseq_Drosophila_yakuba_downSmpld.3,0.066911871,TRUE,28,0.062705933,0.067074004,0
Large,00-05,10,ucseq_Drosophila_yakuba_downSmpld.3,0.066804523,TRUE,28,0.062705933,0.065362077,0
Large,00-05,5,ucseq_Drosophila_yakuba_downSmpld.3,0.066741743,TRUE,28,0.062705933,0.064360895,0
Large,00-05,2,ucseq_Drosophila_yakuba_downSmpld.3,0.066823547,TRUE,28,0.062705933,0.065665461,0
Large,00-05,1,ucseq_Drosophila_yakuba_downSmpld.3,0.066804703,TRUE,28,0.062705933,0.065364947,0
Large,00-05,0,ucseq_Drosophila_yakuba_downSmpld.3,0.066785678,TRUE,28,0.062705933,0.065061547,0
Large,00-00,25,ucseq_Drosophila_yakuba_downSmpld.3,0.066919926,TRUE,28,0.062705933,0.067202461,0
Large,00-00,20,ucseq_Drosophila_yakuba_downSmpld.3,0.066744588,TRUE,28,0.062705933,0.064406266,0
Large,00-00,15,ucseq_Drosophila_yakuba_downSmpld.3,0.066853795,TRUE,28,0.062705933,0.06614784,0
Large,00-00,10,ucseq_Drosophila_yakuba_downSmpld.3,0.066775081,TRUE,28,0.062705933,0.064892552,0
Large,00-00,5,ucseq_Drosophila_yakuba_downSmpld.3,0.066733044,TRUE,28,0.062705933,0.064222169,0
Large,00-00,2,ucseq_Drosophila_yakuba_downSmpld.3,0.066819802,TRUE,28,0.062705933,0.065605738,0
Large,00-00,1,ucseq_Drosophila_yakuba_downSmpld.3,0.066803376,TRUE,28,0.062705933,0.065343785,0
Large,00-00,0,ucseq_Drosophila_yakuba_downSmpld.3,0.066785678,TRUE,28,0.062705933,0.065061547,0
Large,15-May,25,ucseq_Drosophila_yakuba_downSmpld.3,0.06824359,TRUE,28,0.062705933,0.088311532,0
Large,15-May,20,ucseq_Drosophila_yakuba_downSmpld.3,0.0676052,TRUE,28,0.062705933,0.078130837,0
Large,15-May,15,ucseq_Drosophila_yakuba_downSmpld.3,0.067364062,TRUE,28,0.062705933,0.074285299,0
Large,15-May,10,ucseq_Drosophila_yakuba_downSmpld.3,0.06701473,TRUE,28,0.062705933,0.068714343,0
Large,15-May,5,ucseq_Drosophila_yakuba_downSmpld.3,0.066800033,TRUE,28,0.062705933,0.065290473,0
Large,15-May,2,ucseq_Drosophila_yakuba_downSmpld.3,0.066835888,TRUE,28,0.062705933,0.065862269,0
Large,15-May,1,ucseq_Drosophila_yakuba_downSmpld.3,0.066811929,TRUE,28,0.062705933,0.065480184,0
Large,15-May,0,ucseq_Drosophila_yakuba_downSmpld.3,0.066785678,TRUE,28,0.062705933,0.065061547,0
Large,15-25,25,ucseq_Drosophila_yakuba_downSmpld.3,0.070643603,TRUE,28,0.062705933,0.126585629,0
Large,15-25,20,ucseq_Drosophila_yakuba_downSmpld.3,0.069263088,TRUE,28,0.062705933,0.10456993,0
Large,15-25,15,ucseq_Drosophila_yakuba_downSmpld.3,0.068398551,TRUE,28,0.062705933,0.090782765,0
Large,15-25,10,ucseq_Drosophila_yakuba_downSmpld.3,0.067515861,TRUE,28,0.062705933,0.076706107,0
Large,15-25,5,ucseq_Drosophila_yakuba_downSmpld.3,0.06694357,TRUE,28,0.062705933,0.067579522,0
Large,15-25,2,ucseq_Drosophila_yakuba_downSmpld.3,0.06686947,TRUE,28,0.062705933,0.066397816,0
Large,15-25,1,ucseq_Drosophila_yakuba_downSmpld.3,0.066822661,TRUE,28,0.062705933,0.065651332,0
Large,15-25,0,ucseq_Drosophila_yakuba_downSmpld.3,0.066785678,TRUE,28,0.062705933,0.065061547,0
Medium,00-05,60,Dros_sech_plant_bk,0.040148601,FALSE,None,0.021215276,0.892438307,0
Medium,00-05,50,Dros_sech_plant_bk,0.034461883,FALSE,None,0.021215276,0.624390039,0
Medium,00-05,40,Dros_sech_plant_bk,0.030047966,FALSE,None,0.021215276,0.416336323,0
Medium,00-05,30,Dros_sech_plant_bk,0.026610641,FALSE,None,0.021215276,0.254315098,0
Medium,00-05,25,Dros_sech_plant_bk,0.025123941,FALSE,None,0.021215276,0.184238235,0
Medium,00-05,20,Dros_sech_plant_bk,0.023850823,FALSE,None,0.021215276,0.12422874,0
Medium,00-05,15,Dros_sech_plant_bk,0.022742287,FALSE,None,0.021215276,0.071976957,0
Medium,00-05,10,Dros_sech_plant_bk,0.021929425,FALSE,None,0.021215276,0.033662018,0
Medium,00-05,5,Dros_sech_plant_bk,0.021416711,FALSE,None,0.021215276,0.009494809,0
Medium,00-05,2,Dros_sech_plant_bk,0.021250394,FALSE,None,0.021215276,0.001655317,0
Medium,00-05,1,Dros_sech_plant_bk,0.021231781,FALSE,None,0.021215276,0.000777977,0
Medium,00-05,0,Dros_sech_plant_bk,0.021215276,FALSE,None,0.021215276,0,0
Medium,00-00,25,Dros_sech_plant_bk,0.026150124,FALSE,None,0.021215276,0.232608239,0
Medium,00-00,20,Dros_sech_plant_bk,0.024697598,FALSE,None,0.021215276,0.164142196,0
Medium,00-00,15,Dros_sech_plant_bk,0.023326223,FALSE,None,0.021215276,0.099501274,0
Medium,00-00,10,Dros_sech_plant_bk,0.022201918,FALSE,None,0.021215276,0.046506206,0
Medium,00-00,5,Dros_sech_plant_bk,0.021493003,FALSE,None,0.021215276,0.013090897,0
Medium,00-00,2,Dros_sech_plant_bk,0.021262098,FALSE,None,0.021215276,0.002206995,0
Medium,00-00,1,Dros_sech_plant_bk,0.02123743,FALSE,None,0.021215276,0.001044248,0
Medium,00-00,0,Dros_sech_plant_bk,0.021215276,FALSE,None,0.021215276,0,0
Medium,15-May,25,Dros_sech_plant_bk,0.026125541,FALSE,None,0.021215276,0.231449499,0
Medium,15-May,20,Dros_sech_plant_bk,0.024663535,FALSE,None,0.021215276,0.162536608,0
Medium,15-May,15,Dros_sech_plant_bk,0.023303507,FALSE,None,0.021215276,0.098430537,0
Medium,15-May,10,Dros_sech_plant_bk,0.022195388,FALSE,None,0.021215276,0.046198409,0
Medium,15-May,5,Dros_sech_plant_bk,0.021496787,FALSE,None,0.021215276,0.013269259,0
Medium,15-May,2,Dros_sech_plant_bk,0.021262982,FALSE,None,0.021215276,0.002248663,0
Medium,15-May,1,Dros_sech_plant_bk,0.021235296,FALSE,None,0.021215276,0.00094366,0
Medium,15-May,0,Dros_sech_plant_bk,0.021215276,FALSE,None,0.021215276,0,0
Medium,15-25,25,Dros_sech_plant_bk,0.026218949,FALSE,None,0.021215276,0.235852364,0
Medium,15-25,20,Dros_sech_plant_bk,0.024766792,FALSE,None,0.021215276,0.167403714,0
Medium,15-25,15,Dros_sech_plant_bk,0.023370553,FALSE,None,0.021215276,0.101590807,0
Medium,15-25,10,Dros_sech_plant_bk,0.022248209,FALSE,None,0.021215276,0.048688172,0
Medium,15-25,5,Dros_sech_plant_bk,0.021508601,FALSE,None,0.021215276,0.013826122,0
Medium,15-25,2,Dros_sech_plant_bk,0.021267072,FALSE,None,0.021215276,0.002441448,0
Medium,15-25,1,Dros_sech_plant_bk,0.021237485,FALSE,None,0.021215276,0.00104684,0
Medium,15-25,0,Dros_sech_plant_bk,0.021215276,FALSE,None,0.021215276,0,0
Medium,00-05,60,ucseq_Dros_sech_plant,0.022901786,TRUE,35,0.021215276,0.079495077,0
Medium,00-05,50,ucseq_Dros_sech_plant,0.022081025,TRUE,35,0.021215276,0.040807812,0
Medium,00-05,40,ucseq_Dros_sech_plant,0.021565544,TRUE,35,0.021215276,0.016510179,0
Medium,00-05,30,ucseq_Dros_sech_plant,0.021330182,TRUE,35,0.021215276,0.005416192,0
Medium,00-05,25,ucseq_Dros_sech_plant,0.021273123,TRUE,35,0.021215276,0.002726667,0
Medium,00-05,20,ucseq_Dros_sech_plant,0.021269759,TRUE,35,0.021215276,0.002568102,0
Medium,00-05,15,ucseq_Dros_sech_plant,0.021229921,TRUE,35,0.021215276,0.000690304,0
Medium,00-05,10,ucseq_Dros_sech_plant,0.021237305,TRUE,35,0.021215276,0.001038356,0
Medium,00-05,5,ucseq_Dros_sech_plant,0.021251328,TRUE,35,0.021215276,0.001699342,0
Medium,00-05,2,ucseq_Dros_sech_plant,0.021252699,TRUE,35,0.021215276,0.001763965,0
Medium,00-05,1,ucseq_Dros_sech_plant,0.021271009,TRUE,35,0.021215276,0.002627022,0
Medium,00-05,0,ucseq_Dros_sech_plant,0.021274834,TRUE,35,0.021215276,0.002807317,0
Medium,00-00,25,ucseq_Dros_sech_plant,0.021055324,TRUE,35,0.021215276,-0.007539473,0
Medium,00-00,20,ucseq_Dros_sech_plant,0.021129678,TRUE,35,0.021215276,-0.004034734,0
Medium,00-00,15,ucseq_Dros_sech_plant,0.021147129,TRUE,35,0.021215276,-0.003212167,0
Medium,00-00,10,ucseq_Dros_sech_plant,0.021192861,TRUE,35,0.021215276,-0.00105655,0
Medium,00-00,5,ucseq_Dros_sech_plant,0.021239868,TRUE,35,0.021215276,0.001159165,0
Medium,00-00,2,ucseq_Dros_sech_plant,0.021250167,TRUE,35,0.021215276,0.001644617,0
Medium,00-00,1,ucseq_Dros_sech_plant,0.021270252,TRUE,35,0.021215276,0.00259134,0
Medium,00-00,0,ucseq_Dros_sech_plant,0.021274834,TRUE,35,0.021215276,0.002807317,0
Medium,15-May,25,ucseq_Dros_sech_plant,0.023085646,TRUE,35,0.021215276,0.088161474,0
Medium,15-May,20,ucseq_Dros_sech_plant,0.022486399,TRUE,35,0.021215276,0.059915459,0
Medium,15-May,15,ucseq_Dros_sech_plant,0.021960676,TRUE,35,0.021215276,0.03513506,0
Medium,15-May,10,ucseq_Dros_sech_plant,0.021577686,TRUE,35,0.021215276,0.017082502,0
Medium,15-May,5,ucseq_Dros_sech_plant,0.021354708,TRUE,35,0.021215276,0.006572245,0
Medium,15-May,2,ucseq_Dros_sech_plant,0.021276228,TRUE,35,0.021215276,0.002873024,0
Medium,15-May,1,ucseq_Dros_sech_plant,0.021281976,TRUE,35,0.021215276,0.003143961,0
Medium,15-May,0,ucseq_Dros_sech_plant,0.021274834,TRUE,35,0.021215276,0.002807317,0
Medium,15-25,25,ucseq_Dros_sech_plant,0.025334966,TRUE,35,0.021215276,0.194185077,0
Medium,15-25,20,ucseq_Dros_sech_plant,0.024113549,TRUE,35,0.021215276,0.136612552,0
Medium,15-25,15,ucseq_Dros_sech_plant,0.022965261,TRUE,35,0.021215276,0.082487025,0
Medium,15-25,10,ucseq_Dros_sech_plant,0.022071454,TRUE,35,0.021215276,0.040356675,0
